image_id,image_path
perspectiveimage012_jpg.rf.002ba2581f0413a62f2be1cf77e12dd3,train/perspectiveimage012_jpg.rf.002ba2581f0413a62f2be1cf77e12dd3.jpg
2713553952_jpg.rf.012d9251a83dc9f9bc1dd1c41ff35c01,train/2713553952_jpg.rf.012d9251a83dc9f9bc1dd1c41ff35c01.jpg
2674398444_jpg.rf.0361fce335f75c1f452dde1cbd69af41,train/2674398444_jpg.rf.0361fce335f75c1f452dde1cbd69af41.jpg
4534855391_jpg.rf.0326bb148daaa3af4d4ebafb59529913,train/4534855391_jpg.rf.0326bb148daaa3af4d4ebafb59529913.jpg
IMG_20220601_164548_jpg.rf.047dab71a8db8ce70dc0e1ce9dda4813,train/IMG_20220601_164548_jpg.rf.047dab71a8db8ce70dc0e1ce9dda4813.jpg
0425608272_jpg.rf.04f20f3e405a8fd81c1c657321ea8961,train/0425608272_jpg.rf.04f20f3e405a8fd81c1c657321ea8961.jpg
5055323918_jpg.rf.028fc3ce7195539980374d3bf3a1e55d,train/5055323918_jpg.rf.028fc3ce7195539980374d3bf3a1e55d.jpg
IMG_20220601_165032_jpg.rf.03fb73bf91aecf35a79710ae48bf1a66,train/IMG_20220601_165032_jpg.rf.03fb73bf91aecf35a79710ae48bf1a66.jpg
4406534026_jpg.rf.04805dda378057735759b285b7e40a86,train/4406534026_jpg.rf.04805dda378057735759b285b7e40a86.jpg
4247266998_jpg.rf.01e5592eaaa51b1d9e89a2340b583258,train/4247266998_jpg.rf.01e5592eaaa51b1d9e89a2340b583258.jpg
4696436381_jpg.rf.05141f0cdbcbae3fd6f6a78b33e02617,train/4696436381_jpg.rf.05141f0cdbcbae3fd6f6a78b33e02617.jpg
bright_spotsimage016_jpg.rf.06bc78eeb796a4713a45094b94587b4f,train/bright_spotsimage016_jpg.rf.06bc78eeb796a4713a45094b94587b4f.jpg
perspectiveimage035_jpg.rf.05fab0e7481d9c46cb88677d1a882b0e,train/perspectiveimage035_jpg.rf.05fab0e7481d9c46cb88677d1a882b0e.jpg
5208855909_jpg.rf.04a3e9cf5b4b773540a84181bd2df2fb,train/5208855909_jpg.rf.04a3e9cf5b4b773540a84181bd2df2fb.jpg
2332977452_jpg.rf.03e5da8c95ee67ee6ebf31164b67a1f7,train/2332977452_jpg.rf.03e5da8c95ee67ee6ebf31164b67a1f7.jpg
v2VCard-BasicWikipedia_png_jpg.rf.0518f90d0bcfe70a5d2806c3ab045d22,train/v2VCard-BasicWikipedia_png_jpg.rf.0518f90d0bcfe70a5d2806c3ab045d22.jpg
curvedimage002_png_jpg.rf.051391ee5b5ad9611c8cc6ce47dd70a5,train/curvedimage002_png_jpg.rf.051391ee5b5ad9611c8cc6ce47dd70a5.jpg
pathologicalimage018_png_jpg.rf.0b75037765a4ac2e496b0c47480f83d2,train/pathologicalimage018_png_jpg.rf.0b75037765a4ac2e496b0c47480f83d2.jpg
5333302839_jpg.rf.05cd0205056b1174b1207e793ddc07b7,train/5333302839_jpg.rf.05cd0205056b1174b1207e793ddc07b7.jpg
IMG_20220601_163158_jpg.rf.0662aaf63947b59e060cd8fc86e27eff,train/IMG_20220601_163158_jpg.rf.0662aaf63947b59e060cd8fc86e27eff.jpg
3518681490_jpg.rf.07608a49d6c4d47e78902fc342257d57,train/3518681490_jpg.rf.07608a49d6c4d47e78902fc342257d57.jpg
3950841244_jpg.rf.07e088834d13d199fe2980656f4ceec8,train/3950841244_jpg.rf.07e088834d13d199fe2980656f4ceec8.jpg
nominalimage005_jpg.rf.0ba726665cc30b7c45205f226de3c798,train/nominalimage005_jpg.rf.0ba726665cc30b7c45205f226de3c798.jpg
monitorimage001_jpg.rf.09f0849c68dfc76342631366a712225e,train/monitorimage001_jpg.rf.09f0849c68dfc76342631366a712225e.jpg
2595337520_jpg.rf.0a69f7593fdb8c5e36010f5790288061,train/2595337520_jpg.rf.0a69f7593fdb8c5e36010f5790288061.jpg
5164857092_jpg.rf.0ae8d2f7d8826455fc2188d15f7460ca,train/5164857092_jpg.rf.0ae8d2f7d8826455fc2188d15f7460ca.jpg
5240560535_jpg.rf.056d99d3609f86f1fd3078ba8d43e8e4,train/5240560535_jpg.rf.056d99d3609f86f1fd3078ba8d43e8e4.jpg
